S.No,Statename,TimeStamp,NEWS SECTION,PLACE,NEWS HEADER,NEWS CONTENT
171,Bihar,"April 08, 2020 10:34 IST",Other States,Patna:,Baby born in Bihar’s Gaya district named ‘Covid’,"A baby born in Bihar’s Gaya district on Saturday was named ‘Covid’ after the pandemic.“The name of the child will always remind us the joy he brought in the family amid such scare and terror of COVID-19 pandemic,” Priyanjali, mother of the child, said.Also read: Born during lockdown, Raipur twins named ‘Corona’ and ‘Covid’However, her husband Manish Kumar was initially not in favour of naming their newly born son ‘Covid’ after the pandemic, but he agreed after the child’s maternal uncle convinced him."
172,Bihar,"April 08, 2020 09:36 IST",Other States,Patna,"Coronavirus: Four positive cases in Bihar, figure goes up to 38","With four new positive COVID-19 cases being detected in Bihar, the figure in the State rose to 38 on Wednesday.The two new cases were a 26-year-old youth and 20-year-old woman from Siwan district. Both are from the same family and have travel history.Two boys, aged 16 and 15, from Begusarai district also tested positive. “Their travel history is yet to be ascertained,” said State principal health Secretary Sanjay Kumar.In Bihar, all 38 COVID-19 positive cases have been found only in 10 districts.Siwan has the highest number of 10 positive cases, Munger seven, Patna and Gaya five each, Gopalgunj and Begusarai three each, Nalanda two, while Lakhisarai, Saran and Bhagalpur districts have one positive cases each.One patient from Munger had died earlier.Not a single positive case has been found in Patna district in last nine days."
173,Bihar,"April 09, 2020 10:23 IST",Other States,Patna:,Coronavirus: Number of positive cases in Bihar goes up to 39,"With one more fresh case of positive COVID-19 reported in Bihar, the total number of infected persons in the State has gone up to 39.The sample test of a 38-year-old man from Nawada district was found positive. The test was done at the Patna-based Indira Gandhi Institute of Medical Sciences.Also read: It will not be possible to lift the lockdown in one go, says Narendra ModiA total of 16 patients have recovered in the State so far, while one from Munger district who died earlier was “patient zero”.Nine patients have recovered at the Nalanda Medical College and Hospital which is designated as COVID-19 special hospital by the government, six at the Bhagalpur-based Jawaharlal Nehru Medical College and Hospital while one at AIIMS-Patna.Maximum number of positive cases in the State has been reported from Siwan district. A large number of migrants from the district go to Gulf countries every year.Data | The Nizamuddin cluster and the coronavirus spreadMeanwhile, the State government has said that strict action will be taken against in-charge of quarantine centres in case of reports of missing migrants. Earlier, there had been reports from several quarantine centres that the migrants kept in isolation slip out at night and come back during day for free food. However, the migrants said they go to their homes because facilities at the centres were inadequate.The State government has set up 3,115 quarantine centres at government school and panchayat buildings in villages where nearly 30,000 migrants have been given shelter to get free food and isolation.Interactive map of confirmed coronavirus cases in India"
174,Bihar,"April 09, 2020 22:28 IST",Other States,PATNA,Siwan in Bihar emerges as a COVID-19 hotspot,"Siwan district has emerged as a COVID-19 hotspot in Bihar, with 20 of the 51 positive case in the State coming from this district alone.Many of Siwan’s positive cases have travel history to Gulf countries, and the villages they come from have been sealed by the district administration. Also read: Coronavirus | Migrant workers slip out of Bihar quarantine centres at night, return by day On Thursday, 10 of the 12 COVID-19 positive cases detected in Bihar were from Siwan district — nine from the same family and most of them women. “They all came into contact with a person who had a travel history to Oman and whose sample had earlier tested positive,” said the State’s Principal Health Secretary Sanjay Kumar. Many of the district’s positive cases are from Raghunathpur, Barharia, Darauli and Hasanpur blocks. A large number of residents from these areas bordering the neighbouring district of Gopalganj go to Gulf countries every year to work as masons, constructions labourers and unskilled workers. Also read: Bihar govt to take action against 198 doctors for dereliction of duty “The borders of villages from which the highest number of COVID-19 positive cases have come have been sealed and there is strict monitoring by district officials... it’s a curfew-like situation there,” Bihar’s Director-General of Police (DGP) Gupteshwar Pandey told presspersons in Patna.The district administration has sent samples of over 90 people from the affected areas for test in Patna.“Local people have been asked to cooperate with officials and come forward to test,” State Health Minister Mangal Pandey, who is himself from Siwan, said. Bihar has, so far, reported 51 COVID-19 cases. While its ‘patient zero’ from Munger district has died, 16 patients have recovered from the disease.Meanwhile, the State’s Disaster Management Department has said that strict action would be taken both against migrants who go missing from quarantine centres and the officials in charge of the centres.There have been reports of migrants leaving quarantine centres at night to be with their families and returning the next morning for the free food. The migrants say the facilities at the centres are inadequate."
175,Bihar,"April 10, 2020 21:27 IST",Other States,Patna,Coronavirus | Bihar official’s letter sets off alarm bells,"Bihar’s Home Secretary has forwarded to the Union Home Ministry a letter sent by the District Magistrate of West Champaran warning that around 200 Indian Muslims, believed to be COVID-19 infected, are likely to cross the Indo-Nepal border into India.“We’ve forwarded the letter to the Union Home Ministry and everything is under investigation,” Amir Subhani told journalists.The State’s Director General of Police Gupteshwar Pandey said the letter was written based on verified information, but there was no evidence yet on the ground. “We’re in touch with our district superintendents in border areas and keeping a strict vigil on movement of people,” he said.In the “confidential” letter (No: 1250, dated April 7, 2020) the District Magistrate Kundan Kumar asked his sub-ordinate officials to deal strictly with “any suspicious movement.” The letter refers to intelligence information received from the 47th Battalion of the Sahastra Seema Bal (SSB) that a person named Jalim Mukhia from Nepal has been planning to spread Coronavirus in India.Jalim Mukhia, The Hindu has learnt from various sources, was a local criminal involved in arms smuggling on the Indo-Nepal border. Several criminal cases are pending against him in local police stations in the border districts.The District Magistrate, however, could not be contacted on the phone for his reaction. Local journalists quoted him as saying “it was a routine thing.”On April 3, Commandant of the 47th battalion of SSB posted at Pantoka in Ramgarhwa on the Indo-Nepal border in West Champaran district had sent a letter (No 5039-40 U/2130) addressed to the District Magistrate and Superintendent of Police alerting them to the “movement of suspected Corona positive Indian Muslim nationals from Nepal to India.”“Input received from very reliable sources that one person, namely Jalim Mukhia, r/o Vill-Jagannathpur, Post—Janki Tola, P/S-Serwa, Distt-Parsa (Nepal), is planning to spread Corona pandemic in India. He is also involved in smuggling of Arms & FICN [fake Indian currency notes] from Nepal to India. Further, he has taken the responsibility to cross Indian Muslim nationals working in different Muslim countries during lockdown,” said the one-page letter marked “Confidential / Urgent.”The letter quoting sources said around 200 Indian Muslims working in Muslim countries, along with a few Pakistani nationals, have arrived in Nepal via Kathmandu and were presently residing in mosque/madrasas at village Chandanbasra and Khairwa in Nepal. It said these people were taking Paracetamol tablets to lower their temperature on the way and “they may be Corona positive.”Earlier, in view of the mass exodus of Indians from Nepal after the lockdown, the border was sealed on March 30.On April 2, a large number of Indian migrants gathered at the border and they were later quarantined in relief camps there.However, many others are believed to have crossed the porous border at other points and reached their villages."
176,Bihar,"April 12, 2020 22:35 IST",Other States,PATNA,"Coronavirus | Amid lockdown, Bihar plans education through mobile app, radio broadcast","Following COVID-19 lockdown, the Bihar Education Project Council (BEPC) has launched a mobile application and plans to book a slot with the All India Radio for the audio broadcast of study materials for government school students. However, an independent research by an alumna of the London School of Economics has flagged some fundamental challenges in the process as the State has huge digital divide and socio-economic inequalities.Also read: Coronavirus | Migrant workers slip out of Bihar quarantine centres at night, return by dayIn Bihar, like other States, schools and colleges are shut due to COVID-19 lockdown. Recently, the BEPC, a wing of the State Education department, launched a mobile application “Unnayan: Mera Mobile, Mera Vidyalaya” for Class VI to XII of over 70,000 government-run schools. The app, said department officials, was jointly developed by the United Nations Children’s Fund (UNICEF), the Bihar government and Eckovation, a social learning platform. The BEPC also has planned to book a slot with the All India Radio for the audio broadcast of study materials for school students. Deep penetration“In collaboration with UNICEF, class-wise and subject-wise study materials are being prepared which will be broadcast by AIR as radio has a deep penetration into villages and is much simpler to operate … a basic phone or smartphone will serve the purpose,” said BEPC Director Sanjay Singh. The department officials have asked for evening slots from the AIR for Class IX and X students.The BEPC has also encouraged students for the use of online education portals like Diksha. “Now almost every family has a smartphone and Internet connection. Students can study their new syllabus using these mobile applications. NCERT books are available free of cost on Diksha app for Class 1 to XII and has also integrated audio-visual media along with digital textbooks for better understanding and online assessment,” said a BEPC official. “During this long lockdown period why should study of government school students suffer? ... we’ve made a comprehensive plan to meet this challenge,” he said, preferring anonymity.Fundamental challengesBut, an Independent research by an alumna of the London School of Economics (LSE), Anushna Jha, has flagged some “fundamental challenges to viewing technology-enabled education” in a State like Bihar. Ms. Jha, who completed her Master’s in Development Studies in 2018 from the Department of International Development at LSE, has done research in 10 government schools in the State with 40 key informant interviews involving principals, teachers along with focused group discussion with 750 students. “Many children have homes where television and Internet facilities are not default features but luxuries that they aspire to have some day, she said in her research paper carried on LSE blog on April 8, 2020.“There is huge digital divide that exists in Bihar and expecting that the migrant population, whose major cause of concern today is their daily sustenance, would find ways to make their children digitally connect with schools and teachers or participate in online classes would simply be arrogant and irrational,” Ms. Jha told The Hindu over phone. “Without adequate training and support, the feasibility of which under current circumstances is questionable, expecting teachers to seamlessly move to online platforms would be unreasonable,” she said in her research. “In a State like Bihar distance learning has also revealed glaring challenges that stem from socio-economic, digital and educational inequalities,” she said."
177,Bihar,"April 13, 2020 10:19 IST",Other States,Patna:,FIR filed after marriage event amid lockdown in Bihar’s Madhubani,"Amid the nationwide lockdown due to COVID-9 pandemic, a marriage event which saw the participation of many people happened in Madhubani district of Bihar and caught the attention of villagers and officials.Later, an FIR was lodged against the village ‘mukhia’ (head) and others at the local police station under several Sections of the Indian Penal Code, the Disaster Management Act and The Epidemic Disease Act.A video of the marriage too had gone viral on social media.It shows a large number of people gathered under a concrete structure and the groom wearing a wedding turban being coerced into taking part in the ceremony. Village head Ajit Paswan and others too are seen watching the celebration.‘Forced marriage’ It was said that a forced marriage (‘pakarua vivah’) took place, but later it was found out that the boy had a love affair with the girl who is sister of his brother’s wife.Mr. Ajit Paswan said the marriage took place on March 27 at Chatra village under Arer police station in Madhubani district.The wedding was solemnised about a fortnight ago on March 27 and the decision to organise it was taken after other villagers agreed to it, the village head told a local journalist.He denied that it was a forced marriage.However, a member of the village panchayat samiti, Paltan Paswan, later filed an FIR (No: 46/20) against the village head and others at local Arer police station under various Sections of the Indian Penal Code, the Disaster Management Act and the Epidemic Disease Act.The FIR said the marriage ceremony was held on April 8, 2020.“An FIR has been lodged on the complaint by one Paltan Paswan and under investigation by one of our official R.C. Prasad,” said Arer Police station in-charge Rajkishore Kumar. Madhubani District Magistrate Nilesh Deore too twitted to say that an FIR has been lodged in the case and appealed people to “stay at home, stay safe”."
178,Bihar,"April 16, 2020 03:16 IST",Other States,Patna,"Coronavirus | Four more test positive in Bihar, tally goes up to 70","With four more persons testing positive for COVID-19 in Bihar on Wednesday, the total number of people infected has gone up to 70. The State has so far reported one death due to COVID-19, while 29 persons have recovered from the disease.State health principal secretary Sanjay Kumar on Wednesday told journalists that out of the four new cases, two women aged 32 and 25 are from Nalanda and a 60-year-old man is from Munger district. “The two women had come in contact with a COVID-19 patient who had a travel history to Dubai,” said Mr. Kumar. “The contact tracing of the 60-year-old man from Munger is yet to be ascertained.” Munger, along with Begusarai district has, so far, reported eight COVID-19 positive cases. Siwan district reported the maximum number of 29 positive cases.Nalanda now has four positive cases, while two patients from the district have recovered. Earlier, the health department had said that a door-to door screening would be done in four hotspot districts of the State — Siwan, Begusarai, Nawada and Nalanda. Of the total 8,263 samples tested in the State so far at five facilities in the State, 70 had tested positive."
179,Bihar,"April 16, 2020 10:54 IST",Other States,Patna:,"Coronavirus: Police, medical team attacked in Bihar","Villagers in Bihar have attacked police and medical teams who were out to enforce lockdown, which has been extended till May 3, and screening of an outsider for COVID-19 at different districts in past few days.Also read: Doctor injured in U.P.’s Moradabad as crowd attacks health teamAt Jagapakad village under Harsidhi police station in East Champaran district, at least nine officials were injured in an attack by a group of villagers on Wednesday. The officials, including local policemen, the Block Development Officer (BDO) and members of a medical team had gone there to enforce lockdown as villagers had gathered at a place over non-distribution of ration from Public Distribution System (PDS) shops.For 15 minutes, there was a scuffle between villagers and policemen in which BDO Sunil Kumar and three policemen were injured and their vehicle was damaged.Interactive map of confirmed coronavirus cases in India“When we reached the village and requested villagers to follow lockdown while maintaining safe social distancing, the villagers started complaining about non-supply of ration from four out of five PDS shops in the area….soon they turned hostile and attacked us with stones and batons,” Mr. Kumar said.Similarly, a three-member medical team and some policemen were attacked at Akauni village under Goh police station in Aurangabad district when they had gone there for screening of a resident who had come from outside.Data | The Nizamuddin cluster and the coronavirus spreadAurangabad Superintendent of Police Deepak Barnwal said that a team of health workers along with some policemen had rushed to the village for COVID-19 screening of a villager who had come from Delhi recently but “the villagers attacked them in which members of health team and policemen were injured”.“Action will be taken against those found guilty in the attack,” he added .Following the incident, the police reinforcement under senior officials reached the spot but they too were attacked by the villagers. The SDPO, Rajkumar Tiwari, and his bodyguard were injured in the attack.Earlier on Tuesday too, policemen were attacked in Nalanda district. At a quarantine centre located at Nalanda Mor a police team was pelted with stones by villagers. “A mob of over 100 persons attacked a quarantine centre and policemen there,” said a police official Somnath Bharti.On Monday, a police team was attacked under Deepnagar police station when hundreds of people blocked National Highway-31 near Biharsharief Pahadi while protesting alleged police excess during lockdown. The mob also damaged a police vehicle.As many as 54 people were named accused in the incident at Deepnagar police station.Patna-based clinical psychologist Binda Singh told The Hindu: “In days to come, such incidents may increase as people, especially the daily wagers and villagers, would start losing their patience during such a long period of lockdown which they have never experienced in their life… violent behaviour is a fallout of such lockdown.”“It’s a very critical and tough time for everyone,” she said."
180,Bihar,"April 16, 2020 23:19 IST",Other States,PATNA,Coronavirus | Bihar to step up testing,"Bihar with an estimated population of 123 million people has far less sample tests done for coronavirus (COVID-19) in comparison to other States but health officials said tests would be increased in days to come. The State government has also announced a “pulse polio pattern drive” like door-to-door screening of all those residing in the 3 km radius of a positive patient.Interactive map of confirmed cases in IndiaAccording to Principal Health Secretary Sanjay Kumar, till April 16 Bihar has done 8,846 sample tests at six centres with 607 under process. “Two more positive cases came from Buxar district on Thursday. The total number of COVID-19 positive cases in Bihar has gone up to 80 with samples of six persons — two males and four females of a family — have been tested positive,” he said in a tweet. "
181,Bihar,"April 18, 2020 13:06 IST",Other States,Patna,"Nitish Kumar “not doing anything” for stranded Bihar residents, says Prashant Kishor","Poll strategist and former Janata Dal (United) leader Prashant Kishor on Saturday took on his former party boss and Bihar Chief Minister Nitish Kumar for not “doing anything for all those people from Bihar stranded across the country due to lockdown”.Also read: Lockdown displaces lakhs of migrants“People from Bihar are stuck across the country due to lockdown and Nitish Kumar is teaching lessons on morality. The local governments are doing something but Nitish Kumar has not spoken yet to the concerned states. Even during his meeting with PM, he (Nitish Kumar) didn’t mention it”, tweeted Mr. Kishor in Hindi, while tagging a news report that said “Injustice to lockdown, says Nitish Kumar on buses for students”.Earlier on Friday, while reacting to the U.P. government’s decision to send 300 buses to Kota in Rajasthan to bring back stranded students, Mr. Kumar said “it is injustice to the principle of lockdown”. “This would defeat the purpose of lockdown”, added Mr. Kumar to a news channel.Also read: Prashant Kishor questions lockdown extensionDays ago, when a few students had reached the border of Bihar from Kota in several buses, Mr. Kumar, through the Chief Secretary, expressed his displeasure to the Centre and said State governments should follow the lockdown rules at this difficult time.However, the students — mostly from the upper middle class — were later allowed to reach their houses by the respective district administration and told to be home-quarantined for two-weeks.Earlier, Mr. Kishor had also questioned the Centre’s decision to extend the nationwide lockdown by another 19 days.Also read: Coronavirus | Migrant workers slip out of Bihar quarantine centres at night, return by day“It’s pointless to endlessly debate the rationale & modalities of the #lockdown2.The real question however is what happens if we don’t get the desired result even by staying the course on our chosen path till 3rd May? Do we have an alternative plan or the will to course correct?” Mr. Kishor tweeted after the Prime Minister’s announcement of extension of lockdown till May 3.COVID-19 casesMeanwhile, two more persons have tested positive for COVID-19 in Bihar ,which took the total number of cases in the State to 85.State Health Principal Secretary Sanjay Kumar tweeted to say that one of the patients was a youth aged 17 from Biharsharief in Nalanda district, while the other was a 42-year-old man from Begusarai.“Contact-tracing of both the patients, whose test reports came late on Friday night, is on”, he said.According to the health department, the total number of recovered cases so far in Bihar is 37. Two patients — one from Munger and another from Vaishali district — have died in the State due to COVID-19."
182,Bihar,"April 24, 2020 11:43 IST",Other States,Patna,Bihar govt tells court it can’t bring back students stranded in Kota,"At a time when over 12,000 Bihar students stranded in Kota of Rajasthan and their parents have regularly been appealing to the State government for their early evacuation, the government, in a reply to the Patna High Court on April 23, said though it was “sensitive to the plight of stranded students, bringing them back would amount to violation of lockdown guidelines”.On April 23, a group of students observed a silent protest in Kota while sending out an SOS to the Bihar government to move them back as soon as possible.The students are stuck in different hostels and paying guest accommodations in Kota, where they went to join engineering and medical coaching institutes to crack competitions.Also read: How will India emerge out of the lockdown?Earlier, the Uttar Pradesh government had sent as many as 300 buses to Kota to bring back the State’s stranded students.On April 23, 38 students from Dadar and Nagar Haveli and six from Diu too left by three buses, while 18 buses from Assam and 31 buses with students from Haryana are ready to leave Kota on April 24, said a report.‘Situation pathetic’“My son told me the situation is pathetic there as they are not getting proper food or other facilities as mess, canteen and markets are closed due to lockdown…students from other States have left or are leaving with the support of their respective State governments but we’re are still waiting for that day to come”, a Patna-based parent of a student doing medical coaching in Kota told The Hindu over phone, requesting anonymity.“I’m a State government employee, you know it will be problematic for me if you reveal my name”, he quipped.Earlier, an MLA from ruling alliance partner BJP Anil Kumar Singh had got a special vehicle pass to bring back his daughter from Kota and the issue had raised a controversy.The Sub-Divisional Magistrate, his two security guards and the driver of the MLA, from Hisua constituency of Nawada district, were later suspended for negligence of duty.But, no action has been taken against the MLA yet. “Why?”, asked the parent of the stranded student.Earlier, a senior advocate of Patna High Court Ajay Thakur had written a letter to the Chief Justice of the court, asking when the State government would bring back the State’s stranded students from Kota. A person from Patna, Pawan Kumar, too had petitioned before the High Court for evacuation of the students.“Bihar government has always maintained its stand that the existing guidelines do not permit any such travel”, said the government’s response letter given by Principal Secretary of State Disaster Management Department Pratyay Amrit.He also said that the department had been in touch with the Kota administration. Eight dedicated student help lines had been started.The letter also said that as 90 cases of COVID-19 positive have been reported from Kota, it was not “advisable for students there to take such a long and arduous journey as this would increase the risk of infection”.Those who have managed to come earlier with their parents had been quarantined after being medically examined, said the letter.The court has fixed April 27 as next date of hearing.Earlier, Leader of Opposition in State Assembly Tejashwi Yadav, in a series of tweets, had slammed the State government for not bringing back the State’s stranded students from Kota.“Bihar government should compassionately consider bringing these students and poor migrant labourers back home without any preferential treatment”, said Mr Yadav, adding in another tweet, “under people’s pressure, sooner or later, you (chief minister Nitish Kumar) have to shed your obstinate attitude to conform our demand”."
183,Bihar,"April 30, 2020 18:23 IST",National,PATNA,Coronavirus | Bihar appeals for non-stop trains to bring back migrants,"Bihar on Thursday urged the Union government to run special non-stop trains to bring back 27 lakh people of the State stuck in distant places because of the lockdown. The appeal came a day after the Centre issued an order, allowing the States to bring back students, migrants and tourists stranded in other States.Full coverage on coronavirus“Since the Central government has passed the order, I’ll appeal to it to run special non-stop trains to bring back those people from far-off places like Surat and Porbandar in Gujarat, Chennai, Bangalore, Maharashtra and Delhi,” Deputy Chief Minister and BJP leader Sushil Kumar Modi said.In a two-minute video released to journalists, Mr. Modi said it would not be “possible to bring back such a large number of stranded people by bus as it will take months”. “Over five lakh people stranded in Delhi, 2.68 lakh in Maharashtra, over two lakh in Gujarat...over one lakh in Karnataka have applied for the relief to the office of the Chief Minister,” he said.The Bihar government appointed the Principal Secretary of the Disaster Management Department, Pratyaya Amrit, as the nodal officer to supervise the process of bringing back the stranded people, he said. Also read | Migrants’ return home will lead to fourth lockdown: Bihar BJP chiefMr. Amrit has constituted a team of 20 IAS officials with their phone numbers listed for the stranded people to contact and convey their desire to return to Bihar.“The stranded people should come by the special non-stop train while maintaining social distance and we’ll welcome them here... We’ll do screening and quarantine them in their homes or at relief camps set up by the government at the block level,” Mr. Modi said.Also read | Centre tells States to set up camps for migrant workersBut the Opposition parties have criticised the Nitish Kumar-led NDA government for “inability” to bring back the stranded people. “If the Uttar Pradesh government can bring back its people stuck in Maharashtra, Rajasthan, Gujarat, Madhya Pradesh, Haryana and Punjab, why not the Bihar government? Can this double-engine government, formed after robbing people’s mandate, not even do this for the poor people of the State? The Chief Minister himself has to answer,” Leader of the Opposition in the Bihar Assembly Tejashwi Yadav wrote on Twitter, while making an offer of 2,000 buses to the government to bring back the stranded people.Congress leader and MLC Prem Chandra Mishra said, “If the State government is unable to bring back those stranded in other States, it should request the Chief Ministers of the Congress-ruled States to provide them with buses. They will help them out.” Jan Adhikar Party leader and former Madhepura MP Rajesh Ranjan alias Pappu Yadav said, “I’ve sent 30 buses to Kota, Rajasthan, to bring back the stranded students. But the number of students is more, so the government should send all its 650 buses there to bring them back.”State Helpline numbers for COVID-19 | e-Book on COVID-19 | Coronavirus, April 30 updatesThe parents of students stranded in Kota appeared anxious. “It is over a month since lockdown, and our children are stranded there, but the government has become so insensitive that it is not even making an effort to bring them back. We’ll not forget this conduct of the Nitish Kumar government,” said the father of an 18-year-old student undergoing coaching in Kota for admission to a medical course."
184,Bihar,"May 01, 2020 00:59 IST",Mumbai,Navi Mumbai,"57 booked for trying to cycle home to U.P., Bihar","The Turbhe MIDC police have booked 57 migrant labourers who were cycling from Navi Mumbai to Uttar Pradesh and Bihar on Wednesday. The daily wage labourers, who live in various parts of Navi Mumbai, were caught between 1 a.m. and 5 a.m. on the Indira Nagar-Mahape road. “They live in poor conditions and had no means to get food. We counselled them about the dangers of travelling at present,” senior police inspector Sachin Rane said. The police have provided them with dry rations for 15 days, and told them to get in touch when they needed more. The workers are back at their residences in Navi Mumbai.The police have also booked owners of three shops from where the workers bought the bicycles, for violating the lockdown. Twenty-eight migrants were from Ganapati Pada in Turbhe, 16 from Shirvane in Nerul, and 13 from Kunde Vahal in Ulwe. While 44 of them were headed to Rohtas in Bihar, 13 were going to Banda in U.P..All the labourers are in the age group of 19 to 27. Their parents had sent them money to buy the bicylces, which they purchased from Jui Nagar, Juhugaon,Vashi and Kalamboli. The cycles have been seized."
185,Bihar,"May 02, 2020 10:52 IST",Other States,Patna,Bihar braces for massive influx of migrants; Nitish asks officials to pull up their socks,"A massive influx of migrant workers is expected in Bihar in the near future and arrangements must be in place for their mandatory 21-day quarantine, medical tests, treatment and economic rehabilitation, Chief Minister Nitish Kumar has said. At a marathon meeting here on Friday which lasted for close to six hours, Mr. Kumar asked officials to pull up their socks as the migrants, students and pilgrims, said to be in millions, seem poised to return home in droves onboard special trains run by the Centre. Besides other modes of transport may be arranged upon mutual agreement between the States concerned to facilitate their return, he said.“We must ensure that the quarantine centres have excellent food, shelter, sanitation and medical facilities. The isolation centres must be in place at block and panchayat levels. If needed, we shall set up more centres as the number of people returning could be huge,” Mr. Kumar said at the meeting. The meeting was attended, among others, by his deputy Sushil Kumar Modi, Chief Secretary Deepak Kumar and Director General of Police Gupteshwar Pandey. District Magistrates and Superintendents of Police across the State were also connected through video conference.“There must be adequate number of vehicles in place for ferrying people from railway stations to quarantine facilities close to their homes. There should be awareness drives in villages, with messages blared on loudspeakers about precautions needed in the current situation,” the Chief Minister said. The incidence of coronavirus outbreak in the State was low, initially, but there has been a spike of late, partly because of people coming from outside Bihar, carrying the infection, he said. Bihar has reported 466 COVID-19 cases till Friday.“Now, we must brace ourselves for the situation that may arise out of a large influx that is expected in the wake of the Centre’s revised guidelines with regard to the lockdown,” he said. The Chief Minister also said, “We must now have many more testing centres. If required, these should be available at the district level. Accordingly, testing kits too must be arranged and adequate supply of medicines should be ensured.” At present, testing of samples is being conducted at only six places the RMRI, an ICMR centre here, AIIMS, Patna, besides state-run hospitals PMCH and IGIMS, both situated in the capital city, in addition to SKMCH at Muzaffarpur and DMCH at Darbhanga. The seventh testing facility at Jawahar Lal Nehru Medical College and Hospital in Bhagalpur is scheduled to become functional from Sunday.Mr. Kumar also took note of the economic distress that awaited the migrant workers who eked out a living in far-off places and are returning home as stalled economic activity following the nationwide lockdown has rendered them jobless.“Many projects underway in Bihar happen to be labour- intensive. Once the dust settles down, a survey should be conducted to assess the skills these migrant labourers might have and they should be absorbed in the workforce accordingly,” he said. He also expressed distress over the social media being replete with “fake news” and malicious content that tended to stigmatise individuals and communities. The Chief Minister ordered officials to keep a close watch and take stern action against those found to be involved in “vitiating the atmosphere”."
186,Bihar,"May 04, 2020 15:44 IST",Other States,Patna,Students not to pay train fare; migrant workers to get full reimbursement: Nitish,"Bihar Chief Minister Nitish Kumar on May 4 clarified that no fare will be charged from students returning to the State by special trains and that migrant workers will be reimbursed the expenses they incur, besides getting additional assistance after completion of the mandatory 21-day quarantine.In a video message, Mr. Kumar said these measures were already in place and blamed the Opposition for the confusion.“No fare is being charged from the students. The migrant labourers are being taken from railway stations to their respective block headquarters where they have to stay in quarantine for 21 days. Once they come out, they will be reimbursed the full expenses and get an additional aid of ₹500 each. Thus, each worker will be getting a minimum of ₹1000,” he added.Mr. Kumar said that the State government was paying the students’ fare directly to the Railways."
187,Bihar,"May 04, 2020 12:17 IST",Other States,Patna,Tejashwi offers fare of 50 trains to Bihar govt. to bring back migrants,"Rashtriya Janata Dal leader Tejashwi Yadav, who is also the Leader of the Opposition in the State Assembly, on May 4 offered the fare of 50 trains to the Bihar government to bring back stranded migrants.“As per the Union Home Ministry’s directions, the State governments would have to arrange trains to bring back stranded migrants from other States…so we urge the State government not to charge train fares from labourer brothers as the main Opposition party, the RJD, is ready to bear the expenses of first 50 trains,” Mr. Yadav tweeted on May 4, adding, “whenever they will ask, the RJD is ready to pay their fares through cheque to the government”.Urging the State government not to take the excuse of lack of resources to bring back the stranded migrants, the RJD leader said, “you (the State government) should bring back them without any delay”.Migrants arriveMeanwhile, the first train with 1,174 migrants from Jaipur in Rajasthan reached Danapur railway station, near Patna, on May 1 and after screening all of them were taken to their respective districts by buses and quarantined for 21-days at centres set up by the State disaster management department at block levels.On May 4, as many as five trains, three from Kota in Rajasthan with stranded students, two from Kerala and Telangana, with migrants, are expected to reach at different stations in Bihar.At least 12 Shramik Special trains carrying nearly 13,200 stranded migrant workers, students and others are expected to reach Bihar by May 5 at different stations.“At least 1,150 to 1,250 passengers will be accommodated in each train…free food is provided to passengers travelling in these special trains”, said Rajesh Kumar, Chief Public Relation Officer of East Central Railway.The State government has made all arrangements of food, medical screening and buses at these railway stations to take the migrants to their respective home districts.“All returnee migrants are being kept in quarantine centres run by the disaster management and health departments…there they are provided free food and other necessary stuff by the government,” said State COVID-19 nodal officer Ragini Mishra.302 quarantine centresShe also added that the State had 302 quarantine centres with enough space to accommodate the migrants.Bihar, so far, has reported 517 positive cases and four deaths. In all, 125 of them have recovered and a total of 29,254 tests have been done.Meanwhile, the government said ₹187.8 crore had already been transferred to the accounts of 18.78 lakh migrant workers of Bihar stranded in different States under the Mukhyamantri Vishesh Sahayta Yojna (Chief Minister’s Special Relief Scheme).“An amount of ₹1,000 was transferred in the bank accounts of each 18.78 lakh migrant people after verification of their applications”, said State IPRD secretary Anupam Kumar.Maximum 1.43 lakh migrant workers are from Madhubani district, followed by 1.21 lakh from Saran covered under this MVSY scheme launched on April 6 this year to provide financial assistance to the stranded migrant workers, he added.Chief Minister Nitish Kumar on May 3 also asked officials to ensure ration cards to all poor families of the State. Providing ration cards to all poor families are necessary as they will be able to continue to get its benefit in future too, Mr. Kumar said."
